Organism,class,Sequence_Length
Human,6,585
Human,6,948
Human,6,144
Human,6,957
Human,6,948
Human,6,1249
Human,6,1479
Human,6,1389
Human,6,556
Human,6,234
Human,6,548
Human,6,671
Human,6,54
Human,6,426
Human,6,192
Human,1,1518
Human,6,213
Human,6,408
Human,6,609
Human,6,1356
Human,6,1356
Human,6,1353
Human,6,1344
Human,6,1353
Human,6,960
Human,6,225
Human,6,349
Human,6,600
Human,0,1137
Human,4,2214
Human,4,2022
Human,4,342
Human,6,4320
Human,6,2700
Human,6,4077
Human,6,2496
Human,6,4320
Human,6,1155
Human,3,1416
Human,3,1293
Human,3,1416
Human,3,1293
Human,3,1416
Human,3,1293
Human,3,558
Human,3,680
Human,3,671
Human,3,638
Human,3,463
Human,3,461
Human,3,421
Human,3,458
Human,3,450
Human,3,531
Human,3,373
Human,3,344
Human,3,111
Human,3,322
Human,3,313
Human,3,291
Human,3,258
Human,3,123
Human,3,316
Human,3,211
Human,3,204
Human,3,190
Human,3,176
Human,3,174
Human,3,165
Human,3,99
Human,3,77
Human,3,123
Human,0,1527
Human,6,2355
Human,6,168
Human,6,150
Human,6,1878
Human,6,20
Human,6,1830
Human,6,561
Human,0,1830
Human,6,1062
Human,6,1518
Human,6,1344
Human,6,1170
Human,6,1344
Human,6,798
Human,6,1188
Human,6,1518
Human,6,1188
Human,6,132
Human,6,714
Human,6,1188
Human,6,132
Human,6,435
Human,6,132
Human,6,567
Human,6,630
Human,6,1464
Human,6,990
Human,2,5739
Human,2,4518
Human,2,4518
Human,2,893
Human,2,609
Human,2,279
Human,2,5739
Human,2,4491
Human,2,4509
Human,2,4521
Human,2,5739
Human,2,4518
Human,0,1122
Human,0,157
Human,1,2610
Human,1,2586
Human,1,2352
Human,1,399
Human,1,2352
Human,1,2412
Human,1,2595
Human,1,1689
Human,1,2205
Human,5,1449
Human,5,1419
Human,5,1155
Human,1,1605
Human,1,1614
Human,1,1449
Human,1,1614
Human,1,1605
Human,1,697
Human,1,559
Human,1,526
Human,1,459
Human,1,458
Human,1,435
Human,1,419
Human,1,354
Human,1,348
Human,1,320
Human,1,309
Human,1,210
Human,1,194
Human,1,1605
Human,6,681
Human,6,681
Human,6,681
Human,6,1686
Human,6,681
Human,6,1686
Human,6,1218
Human,1,1659
Human,1,4863
Human,1,390
Human,1,459
Human,1,3732
Human,1,3159
Human,1,3054
Human,1,2043
Human,1,3291
Human,1,3159
Human,1,348
Human,1,2175
Human,1,3198
Human,1,201
Human,1,3291
Human,1,960
Human,1,1089
Human,1,2262
Human,1,360
Human,1,204
Human,1,399
Human,1,396
Human,1,219
Human,1,202
Human,1,387
Human,1,240
Human,1,375
Human,1,219
Human,1,506
Human,1,367
Human,1,201
Human,1,201
Human,1,177
Human,1,470
Human,1,366
Human,1,366
Human,1,362
Human,1,357
Human,1,353
Human,1,351
Human,1,321
Human,1,195
Human,1,154
Human,1,44
Human,1,24
Human,1,3021
Human,3,942
Human,3,693
Human,3,840
Human,4,384
Human,4,411
Human,4,45
Human,4,648
Human,4,801
Human,1,3678
Human,1,1812
Human,1,2940
Human,1,3168
Human,1,291
Human,1,273
Human,1,3768
Human,1,307
Human,1,498
Human,1,531
Human,1,755
Human,1,3678
Human,1,3723
Human,6,102
Human,6,1245
Human,6,372
Human,6,573
Human,2,4341
Human,2,4311
Human,2,4302
Human,2,4323
Human,4,1002
Human,4,1239
Human,4,1299
Human,4,1278
Human,4,1278
Human,5,1239
Human,5,801
Human,5,381
Human,6,996
Human,6,996
Human,6,849
Human,6,849
Human,6,267
Human,6,365
Human,6,389
Human,0,1014
Human,0,1107
Human,0,312
Human,0,724
Human,0,408
Human,0,425
Human,0,3753
Human,0,3582
Human,0,3669
Human,0,3666
Human,6,1182
Human,3,1428
Human,4,1923
Human,4,1923
Human,4,1923
Human,4,1923
Human,4,714
Human,4,352
Human,4,1656
Human,4,1656
Human,4,1656
Human,4,1698
Human,4,1656
Human,3,1557
Human,3,987
Human,3,1557
Human,3,564
Human,3,1563
Human,3,711
Human,3,408
Human,3,273
Human,4,1050
Human,6,621
Human,6,621
Human,6,747
Human,6,375
Human,6,1860
Human,6,1788
Human,6,1846
Human,6,72
Human,0,1068
Human,0,1068
Human,0,57
Human,0,221
Human,0,248
Human,0,412
Human,0,535
Human,0,682
Human,0,1068
Human,0,1068
Human,0,1017
Human,0,99
Human,0,489
Human,0,265
Human,0,431
Human,6,1041
Human,6,6906
Human,6,6828
Human,6,243
Human,6,203
Human,3,2712
Human,3,2712
Human,3,432
Human,3,2583
Human,3,343
Human,6,486
Human,6,2358
Human,6,2337
Human,6,690
Human,6,1515
Human,6,1782
Human,6,577
Human,6,282
Human,6,735
Human,6,1566
Human,6,1602
Human,6,1746
Human,3,2175
Human,3,156
Human,3,1449
Human,3,243
Human,3,168
Human,3,416
Human,3,731
Human,3,545
Human,6,987
Human,6,1152
Human,6,1188
Human,6,960
Human,6,612
Human,6,1083
Human,6,1047
Human,6,1044
Human,6,269
Human,6,268
Human,6,1047
Human,6,978
Human,6,372
Human,6,372
Human,6,789
Human,1,572
Human,1,4173
Human,1,4227
Human,1,645
Human,1,475
Human,1,2295
Human,6,2286
Human,6,2001
Human,6,1044
Human,6,1053
Human,6,1209
Human,6,1350
Human,6,1914
Human,6,1923
Human,6,1836
Human,6,900
Human,6,1668
Human,6,1167
Human,6,2277
Human,6,2238
Human,6,1125
Human,6,981
Human,6,1812
Human,6,1818
Human,6,1158
Human,6,1269
Human,6,1260
Human,6,1209
Human,6,312
Human,6,1167
Human,6,1746
Human,6,240
Human,6,1044
Human,6,1746
Human,6,1665
Human,6,1053
Human,6,1095
Human,6,1125
Human,6,1341
Human,6,1209
Human,6,1053
Human,6,834
Human,6,261
Human,6,1983
Human,6,1839
Human,6,2181
Human,0,1041
Human,0,1041
Human,0,1086
Human,4,438
Human,4,168
Human,4,168
Human,4,186
Human,4,234
Human,6,489
Human,6,621
Human,6,328
Human,6,261
Human,6,2184
Human,6,2295
Human,6,2238
Human,6,2184
Human,6,2295
Human,6,2184
Human,6,2184
Human,6,2295
Human,6,111
Human,6,583
Human,6,448
Human,4,1239
Human,4,1239
Human,4,1239
Human,4,595
Human,4,539
Human,3,1158
Human,3,849
Human,3,690
Human,3,472
Human,3,269
Human,3,313
Human,0,1272
Human,0,1146
Human,6,495
Human,6,280
Human,6,377
Human,6,495
Human,6,408
Human,6,495
Human,6,495
Human,0,1356
Human,0,1356
Human,0,1356
Human,0,1356
Human,0,1356
Human,6,1038
Human,6,1038
Human,6,654
Human,0,996
Human,0,294
Human,0,996
Human,0,996
Human,0,1191
Human,0,1191
Human,1,3000
Human,1,2472
Human,1,291
Human,1,771
Human,1,3000
Human,1,1767
Human,6,1044
Human,6,957
Human,6,594
Human,6,951
Human,6,843
Human,3,1203
Human,3,1245
Human,3,1095
Human,3,250
Human,3,1083
Human,3,534
Human,3,909
Human,3,393
Human,3,48
Human,3,69
Human,6,1131
Human,6,180
Human,6,1014
Human,0,1137
Human,4,210
Human,4,453
Human,4,282
Human,4,315
Human,6,3363
Human,6,2502
Human,3,1584
Human,3,2097
Human,3,885
Human,3,2097
Human,3,1995
Human,3,381
Human,3,2097
Human,3,2097
Human,3,1167
Human,3,282
Human,3,1584
Human,1,4062
Human,1,717
Human,1,3459
Human,1,4017
Human,1,387
Human,1,3459
Human,4,480
Human,4,84
Human,4,1110
Human,4,348
Human,4,969
Human,4,399
Human,4,984
Human,4,834
Human,4,420
Human,4,171
Human,4,415
Human,4,207
Human,4,546
Human,4,273
Human,4,399
Human,4,1113
Human,3,450
Human,3,939
Human,3,1011
Human,3,939
Human,6,531
Human,6,632
Human,6,204
Human,6,489
Human,6,582
Human,6,445
Human,6,603
Human,6,775
Human,6,927
Human,6,804
Human,6,378
Human,6,222
Human,5,705
Human,5,5598
Human,5,5595
Human,5,1608
Human,5,1587
Human,5,1605
Human,5,225
Human,5,1245
Human,5,1593
Human,5,42
Human,5,239
Human,5,193
Human,0,1089
Human,6,645
Human,1,2919
Human,1,2931
Human,4,2649
Human,0,444
Human,0,18921
Human,0,6115
Human,0,219
Human,0,300
Human,0,1704
Human,0,198
Human,0,7875
Human,0,1173
Human,0,2817
Human,0,222
Human,0,243
Human,0,1005
Human,0,579
Human,0,369
Human,0,371
Human,0,1014
Human,1,2631
Human,1,2631
Human,1,2742
Human,1,2742
Human,1,2631
Human,1,628
Human,1,1479
Human,1,443
Human,1,417
Human,1,190
Human,1,1137
Human,1,732
Human,1,2742
Human,1,2685
Human,1,2304
Human,1,379
Human,1,349
Human,1,4029
Human,1,552
Human,1,132
Human,1,2766
Human,1,996
Human,1,345
Human,1,3852
Human,1,246
Human,1,1950
Human,1,1752
Human,1,1389
Human,3,1647
Human,3,1434
Human,3,1527
Human,3,708
Human,3,480
Human,3,1136
Human,3,506
Human,6,1131
Human,6,1131
Human,6,792
Human,6,909
Human,6,1017
Human,6,900
Human,6,588
Human,6,534
Human,6,714
Human,6,567
Human,6,870
Human,6,411
Human,6,876
Human,6,264
Human,6,1842
Human,6,292
Human,6,160
Human,6,131
Human,6,750
Human,2,522
Human,2,135
Human,2,522
Human,2,447
Human,4,1605
Human,4,1536
Human,3,3795
Human,3,865
Human,3,522
Human,5,468
Human,5,3645
Human,5,312
Human,5,96
Human,5,234
Human,5,3210
Human,5,651
Human,5,156
Human,3,1119
Human,3,180
Human,3,303
Human,3,303
Human,3,786
Human,3,429
Human,3,990
Human,3,729
Human,3,810
Human,3,429
Human,3,222
Human,3,969
Human,3,681
Human,3,965
Human,3,96
Human,3,315
Human,3,798
Human,0,381
Human,0,453
Human,0,436
Human,0,461
Human,0,1068
Human,0,1362
Human,0,1389
Human,0,1461
Human,1,2685
Human,1,2658
Human,1,1881
Human,4,387
Human,4,486
Human,4,495
Human,4,399
Human,4,1758
Human,4,1737
Human,4,1734
Human,4,423
Human,4,645
Human,1,4383
Human,1,4470
Human,6,918
Human,6,1917
Human,6,1956
Human,6,1857
Human,6,1866
Human,6,1143
Human,6,513
Human,6,412
Human,6,1035
Human,6,531
Human,6,801
Human,6,426
Human,6,249
Human,6,699
Human,1,1356
Human,1,405
Human,4,2082
Human,4,1785
Human,0,3840
Human,0,1683
Human,0,1392
Human,3,301
Human,3,157
Human,3,75
Human,3,1761
Human,3,1317
Human,3,475
Human,3,1749
Human,3,708
Human,3,407
Human,4,1098
Human,4,375
Human,4,1098
Human,4,104
Human,4,1098
Human,4,134
Human,1,2631
Human,1,2631
Human,1,1479
Human,1,2742
Human,1,2631
Human,1,2742
Human,1,500
Human,1,443
Human,1,417
Human,1,190
Human,1,628
Human,1,1137
Human,1,2685
Human,1,2742
Human,1,732
Human,1,2304
Human,6,1776
Human,6,3366
Human,6,1776
Human,6,3447
Human,3,1695
Human,3,531
Human,3,273
Human,3,279
Human,3,360
Human,3,543
Human,3,465
Human,6,2112
Human,6,2763
Human,6,381
Human,6,2616
Human,6,2259
Human,6,2244
Human,6,2757
Human,6,1404
Human,6,2259
Human,6,2253
Human,6,564
Human,6,2610
Human,6,2177
Human,6,357
Human,6,2610
Human,6,2259
Human,1,1824
Human,1,3261
Human,1,3117
Human,1,3123
Human,1,1587
Human,1,727
Human,1,600
Human,1,871
Human,1,432
Human,1,261
Human,1,293
Human,1,429
Human,5,5124
Human,5,3978
Human,5,5136
Human,5,4701
Human,5,4740
Human,5,4671
Human,5,4710
Human,5,4701
Human,5,972
Human,5,828
Human,5,693
Human,5,372
Human,5,4710
Human,5,4701
Human,4,786
Human,4,1959
Human,4,2199
Human,4,2199
Human,4,411
Human,4,2166
Human,3,1179
Human,3,966
Human,3,500
Human,3,275
Human,3,978
Human,2,2409
Human,2,760
Human,2,2382
Human,2,415
Human,2,527
Human,2,2382
Human,2,2382
Human,2,2409
Human,6,1950
Human,6,2178
Human,6,163
Human,6,278
Human,6,930
Human,6,395
Human,6,1260
Human,6,64
Human,6,116
Human,6,218
Human,6,220
Human,6,286
Human,6,1872
Human,6,1950
Human,6,240
Human,6,570
Human,6,624
Human,6,102
Human,6,2178
Human,6,711
Human,6,888
Human,6,633
Human,6,633
Human,6,633
Human,6,234
Human,6,711
Human,6,6255
Human,6,6330
Human,6,645
Human,6,255
Human,6,420
Human,6,542
Human,0,1002
Human,6,789
Human,6,414
Human,6,234
Human,6,382
Human,6,534
Human,6,516
Human,1,177
Human,1,2334
Human,1,790
Human,1,214
Human,1,878
Human,1,330
Human,1,192
Human,1,117
Human,4,1671
Human,4,453
Human,4,153
Human,4,1153
Human,4,1365
Human,4,255
Human,4,989
Human,4,794
Human,4,399
Human,4,345
Human,4,1155
Human,4,1179
Human,6,582
Human,6,1242
Human,6,246
Human,6,438
Human,6,366
Human,6,435
Human,5,2382
Human,5,2280
Human,5,198
Human,5,2280
Human,4,272
Human,4,295
Human,4,659
Human,4,1695
Human,4,347
Human,4,384
Human,4,442
Human,4,290
Human,4,1782
Human,4,1695
Human,4,486
Human,4,414
Human,4,246
Human,0,306
Human,0,396
Human,0,1389
Human,2,3348
Human,2,2814
Human,4,1371
Human,0,2517
Human,0,2517
Human,0,2517
Human,6,894
Human,6,1008
Human,6,1065
Human,6,387
Human,6,1005
Human,6,1008
Human,6,156
Human,6,906
Human,6,939
Human,6,1320
Human,6,1008
Human,6,181
Human,6,1008
Human,6,423
Human,6,285
Human,6,539
Human,6,1377
Human,6,561
Human,6,1200
Human,4,1134
Human,4,796
Human,4,561
Human,4,561
Human,3,2160
Human,3,2064
Human,3,519
Human,3,810
Human,3,183
Human,3,2181
Human,2,522
Human,2,447
Human,2,211
Human,2,447
Human,2,522
Human,1,1539
Human,1,1476
Human,1,451
Human,0,1083
Human,6,1002
Human,1,390
Human,1,444
Human,1,2568
Human,1,2568
Human,1,501
Human,1,516
Human,6,606
Human,0,2901
Human,0,3045
Human,0,2964
Human,0,3054
Human,0,2988
Human,0,3012
Human,0,2697
Human,0,2982
Human,0,3006
Human,0,2697
Human,6,1026
Human,0,4755
Human,0,3480
Human,0,4755
Human,6,1395
Human,6,762
Human,1,1908
Human,1,1839
Human,1,1839
Human,1,1908
Human,6,1116
Human,6,1116
Human,6,1116
Human,6,698
Human,6,1296
Human,6,1296
Human,6,1242
Human,6,807
Human,1,4512
Human,2,540
Human,2,2424
Human,2,2259
Human,2,408
Human,2,2388
Human,2,2007
Human,2,279
Human,2,2352
Human,2,4326
Human,2,4353
Human,2,4356
Human,2,4323
Human,2,4383
Human,2,4296
Human,2,4392
Human,2,144
Human,2,940
Human,2,3231
Human,2,3180
Human,4,1374
Human,4,546
Human,4,1503
Human,4,681
Human,4,192
Human,4,225
Human,6,729
Human,6,726
Human,6,984
Human,2,4251
Human,2,4338
Human,3,1767
Human,3,2157
Human,3,1911
Human,3,408
Human,3,432
Human,3,1332
Human,1,3213
Human,1,420
Human,1,474
Human,1,1380
Human,1,2823
Human,1,3045
Human,1,3093
Human,1,2451
Human,1,3237
Human,1,807
Human,1,1098
Human,1,78
Human,1,78
Human,1,78
Human,1,773
Human,1,255
Human,4,360
Human,4,327
Human,4,327
Human,4,351
Human,4,327
Human,4,327
Human,4,327
Human,3,3264
Human,3,534
Human,3,672
Human,3,500
Human,0,1587
Human,0,666
Human,0,1587
Human,3,1347
Human,0,3723
Human,0,4410
Human,0,3927
Human,0,3900
Human,0,3696
Human,0,4029
Human,0,4056
Human,0,4587
Human,0,3825
Human,0,3852
Human,0,4539
Human,0,4743
Human,0,4716
Human,0,4512
Human,0,2757
Human,3,1770
Human,6,3162
Human,6,1851
Human,6,831
Human,6,231
Human,6,231
Human,6,522
Human,6,234
Human,6,249
Human,6,7372
Human,6,8763
Human,6,8295
Human,6,411
Human,6,1017
Human,6,1455
Human,6,1953
Human,6,1263
Human,6,210
Human,6,195
Human,6,2433
Human,6,9141
Human,4,1056
Human,4,342
Human,4,987
Human,4,525
Human,4,138
Human,4,852
Human,4,552
Human,4,723
Human,4,261
Human,4,1056
Human,4,534
Human,6,1509
Human,6,1275
Human,6,1353
Human,6,1143
Human,6,1281
Human,6,478
Human,6,1107
Human,6,993
Human,6,1281
Human,6,1074
Human,3,1521
Human,3,300
Human,3,300
Human,3,543
Human,3,350
Human,3,1446
Human,3,1005
Human,6,1038
Human,6,1038
Human,6,444
Human,6,432
Human,6,486
Human,0,1590
Human,0,1194
Human,0,1590
Human,0,1248
Human,0,1641
Human,0,1356
Human,0,1650
Human,3,663
Human,3,1083
Human,0,1119
Human,4,1815
Human,4,492
Human,4,365
Human,4,365
Human,4,472
Human,4,4521
Human,4,4503
Human,4,3150
Human,4,1542
Human,3,1434
Human,3,876
Human,6,1560
Human,6,732
Human,6,1581
Human,6,1374
Human,6,673
Human,6,273
Human,6,1038
Human,1,3927
Human,1,3879
Human,1,2195
Human,1,385
Human,1,3801
Human,3,1545
Human,3,768
Human,3,462
Human,3,1155
Human,0,7104
Human,0,7107
Human,6,1065
Human,4,903
Human,4,727
Human,4,903
Human,4,741
Human,4,690
Human,4,903
Human,6,660
Human,3,317
Human,3,1731
Human,3,711
Human,3,571
Human,3,1731
Human,3,936
Human,3,86
Human,3,1107
Human,3,705
Human,3,434
Human,3,552
Human,3,321
Human,3,1731
Human,3,285
Human,3,1239
Human,3,255
Human,3,420
Human,3,240
Human,3,297
Human,5,2751
Human,5,3360
Human,0,1215
Human,0,168
Human,0,591
Human,0,105
Human,0,3966
Human,0,1146
Human,0,1851
Human,0,291
Human,2,1308
Human,2,1089
Human,4,1662
Human,4,177
Human,4,1596
Human,4,273
Human,4,234
Human,4,598
Human,4,622
Human,4,617
Human,4,434
Human,4,135
Human,4,334
Human,4,237
Human,4,1512
Human,4,1662
Human,6,1188
Human,6,372
Human,6,1188
Human,6,9
Human,6,12
Human,6,156
Human,4,852
Human,4,1087
Human,4,399
Human,4,810
Human,4,1590
Human,6,1716
Human,6,1323
Human,6,528
Human,6,1800
Human,6,1299
Human,6,1143
Human,6,750
Human,6,1284
Human,0,624
Human,6,1038
Human,6,1038
Human,3,2070
